word,counts,remove
sidibouzid,33293,1
http,11932,1
tunisia,7496,1
quot,4633,1
tunisie,4310,1
amp,3558,1
fy,3147,1
bit.ly,2951,1
ben,2579,
ali,2272,
mn,1891,1
twns,1865,1
tunis,1430,1
3la,1318,1
optunisia,1309,1
bn,1071,
police,1038,1
3ly,1033,
on.fb.me,949,1
t.co,872,1
jasminrevolt,868,1
c'est,861,1
benali,822,
video,813,1
anonymous,771,1
bwzyd,749,1
fb.me,743,1
goo.gl,734,1
3n,721,1
sydy,718,1
france,652,1
zaba,606,
ala,603,1
people,600,1
tiny.cc,573,1
nawaat,570,
fb,535,1
is.gd,532,1
altwnsy,529,1
tunisiens,519,1
protests,506,
site,501,1
egypt,496,1
tv7,489,1
tinyurl.com,488,1
class,481,1
fl,478,1
hl,476,1
ei,474,1
href,474,1
ved,474,1
peuple,465,1
news,462,1
tunisien,462,1
twitter,446,1
slim404,443,
tout,433,1
m3,428,1
tous,412,1
alywm,407,1
search,400,1
si,397,1
update,393,1
b3d,389,1
facebook,381,1
3atwitter.com,376,1
mbl,376,1
tbo,376,1
tbs,376,1
alw3b,369,1
www.facebook.com,364,1
president,362,
maniftunis,359,
manif,358,
aljazeera,352,
fait,350,1
media,347,1
em,345,1
liveword.ca,341,1
twitpic.com,341,1
va,337,1
freedom,325,
revolution,320,
free,313,
arab,312,
aljzyr0,311,
tunisians,308,
monde,307,
post.ly,302,1
faut,301,1
faire,296,1
kasserine,291,
alr5ys,288,
kl,284,1
alan,280,1
paris,280,
protest,280,
sbz_news,279,
live,277,
slim,277,
pays,275,
ca,272,1
gt,271,1
altwnsy0,268,
censorship,266,
qu'il,264,1
uprising,264,
fydyw,263,
weddady,262,
world,259,
encore,258,
government,258,
j.mp,258,1
plz,258,
internet,257,
tunisienne,257,
censure,255,
discours,252,
sidi,251,
army,250,
source,248,
demain,246,
tv,245,
bien,244,1
operationtunisia,242,
comme,241,1
youtube,239,
parle,237,
jazeera,231,
regime,227,
allh,224,
trabelsi,220,
video.php,219,1
algeria,218,
gouvernement,218,
après,217,1
contre,217,
rien,217,
emnabenjemaa,215,
morts,215,
alamn,214,
dima_khatib,212,
bouazizi,211,
bouzid,211,
j'ai,211,1
protesters,210,
passe,208,
azyoz,207,
feu,207,
l'armée,206,
dit,203,1
ifikra,203,
nessmatv,203,
soir,202,
cc,201,1
amam,200,
riots,200,
support,195,
liberté,190,
aussi,189,
article,187,
gens,187,
hashtag,187,
videos,186,
ali's,185,
country,185,
régime,185,
usa,185,
maintenant,184,
situation,184,
speech,184,
amamou,181,
président,181,
mohamed,180,
peut,180,
depuis,178,
merci,176,
watch,176,
wikileaks,176,
pouvoir,175,
n'est,174,
23sidibouzid,173,
free404,173,
a7dau,170,
europe,170,
svp,169,1
info,165,
message,165,
d'un,164,1
aujourd'hui,163,
tunesien,163,
hw,162,1
3ajl,161,1
moment,161,
quand,161,
révolte,161,
time,161,
soutien,160,
kan,159,1
wla,158,1
devant,157,
fi,157,1
m7md,156,
al3rby0,155,
hia,155,1
killed,154,
français,153,
suicide,153,
tweet,153,1
ammar,152,
violence,152,
jamais,149,
al3asm0,148,
alty,148,1
manifestants,148,
manifestation,148,
alwrt0,147,
lm,147,1
là,147,1
follow,145,
houeida,145,
change,144,
quoi,143,1
tunisia's,143,
ans,142,
byn,142,1
rcd,142,
yfrog.com,142,1
fa,141,1
solidarity,141,
bbc,139,
ow.ly,139,1
ywm,139,
ala7tjajat,138,
pr,138,1
voir,138,
ana,137,1
benmhennilina,137,
n'a,136,1
vu,136,
alqsryn,135,
bravo,135,
comment,135,1
dire,135,
https,135,1
page,135,
qu'on,135,1
très,134,
dd,133,1
ceux,132,1
forces,132,
bon,131,
continue,131,
aia,130,
aljyw,129,
censuré,129,
jeunesse,128,
tweets,128,1
coup,127,
manifparis,127,
power,127,
avocats,126,
dead,126,
doit,126,
online,125,
msr,124,
oui,124,
slovenija,124,
t_kahlaoui,124,
túnez,124,
faites,123,
moins,123,
stop,123,
zine,123,
7ta,122,1
blog,122,
comments,121,
deux,121,
manifestations,121,
nessma,121,
sfax,121,
arrested,120,
policiers,120,
twitter.com,120,1
addthis,119,1
bkl,119,
dictature,119,
fire,119,
jour,119,
ministre,119,
readwriteweb,119,1
toujours,119,
twnsy,119,1
week,119,
aliy,118,1
ally,118,1
anbaq,118,
french,118,
fois,117,
jerbi113,117,1
qna0,117,
arrêté,116,
chez,115,
clashes,115,
peur,115,
anonops,114,1
photo,114,
selon,114,
social,114,
spread,114,
trop,114,
vidéo,114,
être,114,
a7tjajat,113,
anh,113,
aw,113,1
events,113,
gyr,113,
parler,113,
shot,113,
silence,113,
uwr0,113,
vidéos,113,
mdyn0,112,
mort,112,
7wl,111,1
hier,111,
infos,111,
lol,111,1
tunobs,111,
afp,110,
btwns,110,
janvier,110,
rue,110,
zyn,110,
avant,109,
veut,109,
w3b,109,
vient,108,
7zm,107,
entre,107,1
libre,107,
reports,106,
url,106,1
fin,105,
hih,105,
temps,105,
altwnsyyn,104,
avoir,104,
