"revid","nameofrevolution","year","country_text_id","country_name"
271,"1990 Revolution in Bangladesh",1990,"BGD","Bangladesh"
195,"Togo 1991 Revolution",1991,"TGO","Togo"
188,"March 1991 Revolution in Mali",1991,"MLI","Mali"
296,"Albanian Anti-Communist Protests",1991,"ALB","Albania"
246,"1991 Madagascar Revolution",1991,"MDG","Madagascar"
124,"Russian revolution of 1991",1991,"RUS","Russia"
225,"Georgian Civil War 1991-93",1991,"GEO","Georgia"
127,"Black May in Thailand",1992,"THA","Thailand"
133,"Indonesian Revolution",1998,"IDN","Indonesia"
134,"Bulldozer Revolution",2000,"SRB","Serbia"
139,"Madagascar electoral revolution",2002,"MDG","Madagascar"
142,"Rose Revolution",2003,"GEO","Georgia"
331,"Black Friday in Maldives",2004,"MDV","Maldives"
143,"Orange Revolution",2004,"UKR","Ukraine"
144,"Tulip Revolution",2005,"KGZ","Kyrgyzstan"
145,"Azerbaijan color revolution attempt",2005,"AZE","Azerbaijan"
149,"Belarus Jeans Revolution",2006,"BLR","Belarus"
147,"April Revolution in Nepal",2006,"NPL","Nepal"
298,"2007 Guinean General Strike",2007,"GIN","Guinea"
150,"Saffron Revolution",2007,"MMR","Burma/Myanmar"
152,"Armenian colored revolution attempt",2008,"ARM","Armenia"
201,"2009 Malagasy Political Crisis",2009,"MDG","Madagascar"
155,"Moldovan Twitter Revolution",2009,"MDA","Moldova"
278,"Niger Constitutional Crisis",2009,"NER","Niger"
154,"Iranian Election Protests",2009,"IRN","Iran"
157,"Kyrgyz 2010 revolution",2010,"KGZ","Kyrgyzstan"
166,"Tunisian Revolution",2010,"TUN","Tunisia"
167,"Egyptian Revolution 2011",2011,"EGY","Egypt"
169,"Yemeni Uprising 2011",2011,"YEM","Yemen"
172,"Djiboutian Uprising 2011",2011,"DJI","Djibouti"
168,"Pearl Revolution",2011,"BHR","Bahrain"
329,"2011 Green Movement Protests in Iran",2011,"IRN","Iran"
165,"Libyan Revolution 2011",2011,"LBY","Libya"
170,"Syrian Civil War",2011,"SYR","Syria"
401,"Gezi Park Protests",2013,"TUR","Turkey"
397,"Euromaidan Uprising",2013,"UKR","Ukraine"
398,"2014 Venezuelan Protests",2014,"VEN","Venezuela"
399,"Burkinabè Uprising (2014)",2014,"BFA","Burkina Faso"
